FALCON PLATFORM v1 — BUG & IMPROVEMENT TRACKER,,,,,,,,,,
ID,Date,Category,Priority,Status,Title,Description,Steps to Reproduce / Details,Expected Result,Actual Result / Current State,Role / Section
CL-03,2026-02-28,UI/UX,Medium,Open,Statistics Overview shows inconsistent data after interaction,"After clicking the Create Job card, the Interviews stat changed from 16 to 0 (-100%) without any actual data change. Stats are not stable and may be recalculating incorrectly on interaction.","View Statistics Overview, then click any Quick Action card",Stats remain consistent unless data is refreshed,Interviews count dropped from 16 (+78%) to 0 (-100%) after clicking a Quick Action,Client User
CL-04,2026-02-28,Code,High,Closed,Jobs page shows 0 jobs despite dashboard showing 3 Active Jobs,"The dashboard Statistics Overview shows 'ACTIVE JOBS: 3' and the Recent Activity section lists multiple published jobs. However, navigating to the Jobs page shows 'Showing 0 of 0 jobs' with all counters at 0.",1. View dashboard — note 3 Active Jobs. 2. Click 'Jobs' in sidebar. 3. Observe job list.,Jobs page should display the 3 active/published jobs visible in the dashboard activity feed,"Jobs page shows 0 jobs across all tabs (All Jobs, Published, Drafts, Closed)",Client User
CL-05,2026-02-28,UI/UX,Low,Closed,Sidebar navigation links are offset — clicking one item navigates to a different section,"While on the Help Center page, clicking the 'Jobs' sidebar link navigated to /dashboard/interviews instead of /dashboard/jobs. This may be a sidebar index mismatch caused by the sidebar collapsing/expanding the Tools & Config and Settings sections.","From Help Center, click 'Jobs' in the sidebar",Navigate to /dashboard/jobs,Navigated to /dashboard/interviews,Client User
CL-06,2026-02-28,Code,High,Closed,Interviews page shows skeleton loading state indefinitely — no interview data loads,"The Interviews page shows a skeleton loading animation but never loads actual interview data. The dashboard showed 16 scheduled interviews, but the Interviews page remains in a perpetual loading state.",Navigate to Interviews from the sidebar,List of 16 scheduled interviews should load and be displayed,Page shows skeleton/loading placeholders indefinitely; no interview records appear,Client User
CL-07,2026-02-28,UI/UX,Medium,Closed,Sidebar navigation links are consistently offset by one position,The sidebar navigation links appear to be consistently misaligned by one position. Clicking 'Jobs' navigates to /dashboard/candidates. This may be caused by the 'Tools & Config' and 'Settings' expandable sections altering the element index order.,"From any page, click 'Jobs' in the sidebar",Navigate to /dashboard/jobs,Navigates to /dashboard/candidates,Client User
CL-08,2026-02-28,Code,High,Closed,Candidates page shows 0 candidates despite scheduled interviews,"The Candidates page shows 0 total candidates with all status counters at zero. The dashboard Recent Activity shows named candidates with scheduled interviews, contradicting the empty Candidates page.",Navigate to Candidates from the sidebar,Candidates associated with the 16 scheduled interviews should be visible,'Showing 0–0 of 0 candidates' with skeleton loading placeholders that never populate,Client User
CL-09,2026-02-28,Code,High,Closed,"""Generate with AI"" button does not populate the Job Description field","On the Create Job form (Step 1), clicking 'Generate with AI' after entering a role designation does not generate or populate the Job Description textarea. The button shows a brief loading spinner but the textarea remains empty after waiting 10+ seconds.",1. Go to Jobs → Create Job. 2. Enter job title. 3. Enter role designation. 4. Click 'Generate with AI'. 5. Wait.,Job Description textarea should be populated with an AI-generated job description,Textarea remains empty; no content generated; no error message shown,Client User
CL-10,2026-02-28,UI/UX,Low,Open,Step 2 of job creation wizard is labelled 'Requirements' but contains job type/work mode fields,"The stepper labels Step 2 as 'Requirements — Skills & experience' but the actual content shown is Job Type, Work Mode, Experience Level, and Seniority Level — which are more accurately 'Job Details'. The label is misleading.",Create Job → fill Step 1 → click Next,Step 2 labelled 'Requirements' should contain skills/experience fields,"Step 2 shows Job Type, Work Mode, Experience Level, Seniority Level dropdowns",Client User
CL-11,2026-02-28,UI/UX,Low,Open,"""Seniority Level"" field disappears from view when Work Mode dropdown is opened","When the Work Mode dropdown is clicked and opened, the Seniority Level dropdown field disappears from the form. This suggests a layout/z-index issue where the dropdown overlay is incorrectly hiding other form elements.",Go to Create Job → Step 2 → Click the Work Mode dropdown,"All four fields (Job Type, Work Mode, Experience Level, Seniority Level) remain visible",Seniority Level field is hidden/displaced when Work Mode dropdown is open,Client User
CL-12,2026-02-28,UI/UX,Medium,Open,Step 3 'Details — Type & location' is missing the Location field,"Step 3 of the Create Job wizard is labelled 'Details — Type & location' but only contains two fields: Engagement Length and Number of Openings. There is no Location field present, despite the step label explicitly mentioning 'location'.",Create Job → complete Steps 1 & 2 → proceed to Step 3,"Step 3 should include a Location field (city, country, or remote location)",Only Engagement Length and Number of Openings fields are present; no Location field,Client User
CL-13,2026-02-28,UI/UX,Low,Open,"""Engagement Length"" dropdown offers only two vague options (Short Term / Long Term)","The Engagement Length dropdown in Step 3 only provides 'Short Term' and 'Long Term' as options, with no further definition or duration range. This is ambiguous for recruiters who need to specify contract durations.",Create Job → Step 3 → Click Engagement Length dropdown,"More granular options such as '3 months', '6 months', '1 year', 'Permanent/Ongoing'",Only 'Short Term' and 'Long Term' offered,Client User
CL-14,2026-02-28,UI/UX,Medium,Open,Location fields placed in Step 4 'Compensation' instead of Step 3 'Details — Type & location',Step 4 is labelled 'Compensation — Salary & benefits' but its section heading reads 'Location & Compensation' and includes Country and Timezone fields. These location fields logically belong in Step 3 which is labelled 'Details — Type & location'.,Create Job → proceed to Step 4,Step 4 should only contain salary/compensation fields; location fields should be in Step 3,"Step 4 contains Country, Timezone, Minimum Salary, Maximum Salary, and Currency",Client User
CL-15,2026-02-28,UI/UX,Low,Open,Job creation success modal overlaps the form content instead of replacing it,"After clicking 'Create Job', a success banner appears as an overlay on top of the still-visible form fields below it. The form content remains visible behind the success modal, creating a confusing visual state.",Complete all 4 steps of Create Job → Click 'Create Job',"Success message replaces the form, or user is redirected to the job detail page",Success banner overlays the form; form fields remain visible behind the modal,Client User
CL-17,2026-02-28,Code,High,Closed,Jobs page data loads inconsistently — shows 0 on initial load but populates after job creation,"Earlier the Jobs page showed '0 of 0 jobs'. After creating a new job and clicking 'View Job', the Jobs page now shows 11 total jobs. This confirms the data is present but fails to load on initial navigation.",Navigate to Jobs page → observe 0 jobs → create a new job → return to Jobs page,Jobs page should always load existing jobs on navigation,Jobs page shows 0 jobs on initial load; data appears after a creation event,Client User
CL-18,2026-02-28,Code,High,Open,Job cards display raw CV/resume text as the job description,"Several job cards display what appears to be raw candidate CV/resume text as the job description (e.g., 'Mern Stack Developer Mid Level' shows a full CV with personal details, phone numbers, LinkedIn URL, work history). This is a serious data integrity issue.",Navigate to Jobs page → view job cards,Job cards should display a concise job description written by the recruiter,"At least one job card displays a full candidate CV as the job description, including personal contact details",Client User
CL-19,2026-02-28,Text/Content,Medium,Open,"Job cards have placeholder/test titles (e.g., 'asdf', 'adf', 'testing', 'SoftWare end')","The Jobs list contains several jobs with clearly test/placeholder titles such as 'asdf', 'adf', 'testing', 'SoftWare end'. There is no validation on job titles to prevent meaningless entries from being published.",Navigate to Jobs page → view job list,Published jobs should have meaningful titles; validation should prevent publishing jobs with placeholder titles,Multiple published jobs with test/garbage titles are visible to the client user,Client User
CL-20,2026-02-28,Text/Content,Low,Closed,Job status badge displays lowercase 'published' instead of 'Published',"On the job detail page, the status badge shows 'published' in all lowercase. All other status labels in the platform use title case. This is a minor text inconsistency.",Navigate to any job detail page,Status badge should read 'Published' (title case),Status badge reads 'published' (lowercase),Client User
CL-21,2026-02-28,UI/UX,Medium,Open,"Job detail page is missing key fields entered during creation (Job Type, Work Mode, Experience Level, etc.)","The job detail page only shows Description and Required Skills under 'Job Details'. Fields entered during the wizard (Job Type, Work Mode, Experience Level, Seniority Level, Engagement Length, Number of Openings) are not displayed.",Create a job with all fields → click Details on the job,All entered job fields should be visible on the detail page,Only Description and Required Skills are shown; all other fields are absent,Client User
CL-23,2026-02-28,Code,Medium,Closed,Same candidate (Muhammad Tayyeb) appears twice in the invited list with different email addresses,The candidate 'Muhammad Tayyeb' appears twice in the invited candidates list — once with mtayyeb021111@gmail.com and once with mtayyeb021@gmail.com. This may indicate a duplicate candidate record. There is no deduplication or warning shown.,Navigate to Senior React Developer job detail → view Candidates section,Duplicate candidates should be flagged or merged,"Two separate entries for the same name with different emails, both showing 'Scheduled' status",Client User
CL-24,2026-02-28,Code,High,Open,"""Extract Candidates"" button produces no visible response or feedback","Clicking the 'Extract Candidates' button on the job detail page triggers a loading spinner briefly but produces no visible result — no modal, no toast notification, no new candidates appear, and no error message is shown.",Navigate to job detail page → click 'Extract Candidates',"A modal or result panel showing extracted/matched candidates, or a clear status message",Button shows a brief loading spinner then nothing — no feedback to the user,Client User
CL-26,2026-02-28,UI/UX,Low,Open,"""Invite by Email"" modal is missing a 'Job Role' or context field","The invitation modal does not show which job the candidate is being invited to. If a recruiter has multiple jobs open, there is no confirmation of which role the invitation is for within the modal itself.",Job detail page → click 'Invite by Email',"Modal should display the job title as context (e.g., 'Inviting for: Senior React Developer')",No job context shown in the modal,Client User
CL-27,2026-02-28,Flow/Process,High,Closed,Sidebar 'Pipeline' link navigates to the Interviews page instead of a Pipeline/Kanban view,Clicking 'Pipeline' in the sidebar navigates to /dashboard/interviews and shows the Interviews page. There is no dedicated Pipeline/Kanban board view. The Help Center describes Pipeline as a Kanban-style drag-and-drop board.,Click 'Pipeline' in the sidebar,A Kanban-style pipeline board showing candidates in different hiring stages,Redirected to the Interviews page (/dashboard/interviews),Client User
CL-28,2026-02-28,UI/UX,High,Open,Interviews page 'Checklist' and 'Date & Time' columns show '—' for all entries,The Interviews list table has columns for 'Checklist' and 'Date & Time' which display '—' (dash) for almost all interview entries. The 'Checklist' column appears to be non-functional or unpopulated.,Navigate to Interviews page,Checklist column should show interview preparation checklist status; Date & Time should show scheduled interview time,Both columns show '—' for most entries,Client User
CL-29,2026-02-28,Text/Content,Medium,Closed,"Interviews page shows status labels in lowercase ('in progress', 'scheduled', 'awaiting review')","Status labels on the Interviews page use inconsistent casing — 'in progress', 'scheduled', 'awaiting review' are all lowercase, while the rest of the platform uses title case for status labels.",Navigate to Interviews page,"Status labels should be consistently formatted (e.g., 'In Progress', 'Scheduled', 'Awaiting Review')",All status labels are lowercase,Client User
CL-30,2026-02-28,UI/UX,Medium,Open,Interviews page has no pagination — all interviews are shown in a single long list,"The Interviews page loads all interview records in a single scrollable list with no pagination, page size selector, or infinite scroll indicator. With 27+ entries visible, this will become unusable at scale.",Navigate to Interviews page,Pagination controls or a 'Load more' mechanism to manage large datasets,All records loaded in one long list with no pagination,Client User
CL-33,2026-02-28,UI/UX,Medium,Open,Interview detail page shows '—' for Scheduled/Completed dates and 'No room' for Meeting,"The Overview section on the interview detail page shows '—' for both Scheduled and Completed dates, and 'No room' for Meeting. For a 'scheduled' interview, there should be a scheduled date.",Navigate to any interview detail page with 'scheduled' status,Scheduled date should be visible if the interview has been scheduled,Scheduled shows '—' and Meeting shows 'No room',Client User
CL-34,2026-02-28,UI/UX,Medium,Open,Interview detail page shows 'No AI summary available yet' even for scheduled interviews,"The AI Summary section shows 'No AI summary available yet.' This is expected for incomplete interviews, but the section should be hidden or replaced with a more contextual message like 'AI summary will be generated after the interview is completed.'",Navigate to a scheduled interview detail page,AI Summary section should either be hidden or show a contextual placeholder,Shows 'No AI summary available yet' which is confusing for a not-yet-started interview,Client User
CL-35,2026-02-28,Code,High,Closed,Candidates page shows 0 candidates despite active interviews and job applications existing,"The Candidates page shows 'Showing 0–0 of 0 candidates' with all metrics at zero. The platform has active interviews with named candidates (Muhammad Tayyeb, Fraz Chishti, Emily Chen, etc.) visible in the Interviews section.",Navigate to Candidates page,All candidates who have been invited or interviewed should appear in the Candidates list,Page shows 0 candidates across all metrics; skeleton loading rows never populate,Client User
CL-36,2026-02-28,Code,High,Open,Analytics Dashboard shows 0% for all metrics despite active interview data,"The Analytics Dashboard shows Time to Hire: 0 days, Cost Per Hire: 1,000 AED (hardcoded?), Quality of Hire: 0%, Interview to Offer: 0%. Given that there are 27+ interviews in the system with scores, these metrics should not all be zero.",Navigate to Analytics Dashboard,Metrics should reflect actual interview and hiring data from the system,"Most metrics show 0; Cost Per Hire appears to be a hardcoded default value (1,000 AED)",Client User
CL-37,2026-02-28,Text/Content,Low,Open,Analytics Source Effectiveness table shows 'unknown' as a source category,The Source Effectiveness table includes a row labelled 'unknown' with 5 candidates. This should not be displayed to end users — it indicates missing source attribution data.,Navigate to Analytics → Source Effectiveness table,All source categories should have meaningful labels,'unknown' appears as a source label with 5 candidates,Client User
CL-38,2026-02-28,UI/UX,Medium,Open,Analytics Source Effectiveness table shows 0% Interviewed for all sources despite active interviews,"The Source Effectiveness table shows 0% Interviewed for all sources (GitHub Jobs, LinkedIn, Stack Overflow, etc.) even though the Interviews page shows 27+ interviews. Analytics data is not properly connected to the interview data.",Navigate to Analytics → Source Effectiveness table,Sources with interviewed candidates should show non-zero interview rates,All sources show 0% Interviewed,Client User
CL-39,2026-02-28,Code,High,Open,Score Analytics tab shows 'Total Scores: 0' despite interviews having AI scores,"The Score Analytics tab shows Score Distribution with Total Scores: 0 and Average: 0.0. This is incorrect — the Interviews page clearly shows multiple interviews with scores such as 76/100, 90/100, 66/100, 41/100, 13/100, 67/100.",Navigate to Analytics → Score Analytics tab,Score distribution should reflect actual AI scores from completed interviews,"All score bands show 0 (0%), Total Scores: 0",Client User
CL-41,2026-02-28,UI/UX,Low,Closed,Market Intelligence 'Experience Level' filter has no visible options,The Experience Level dropdown on the Market Intelligence page appears empty (shows a blank/space character as the selected value). The field label is also not clearly distinguished from the other dropdowns.,Navigate to Market Intelligence → click Experience Level dropdown,"A list of experience levels (Junior, Mid, Senior, etc.) should appear",The dropdown appears blank/empty by default,Client User
CL-42,2026-02-28,UI/UX,High,Closed,"""Tools & Config"" section disappears from sidebar after page navigation","When navigating away from a page where Tools & Config was expanded, the entire Tools & Config section (Templates, Role Specs, Eval Policies, Feedback, Evidence, Integrations) disappears from the sidebar.",Navigate to any page → check sidebar for Tools & Config,Tools & Config should always be visible in the sidebar under TOOLS section,Tools & Config section disappears; sidebar shows no TOOLS section,Client User
CL-44,2026-02-28,UI/UX,Medium,Open,Role Spec creation uses a single long form while Job creation uses a multi-step wizard — inconsistent UX,"The Job creation flow uses a multi-step wizard (4 steps), while the Role Spec creation is a single long-form page. This inconsistency in UX patterns may confuse users.",Compare Job creation wizard vs Role Spec creation form,Consistent UX pattern across similar creation flows,Job creation is a 4-step wizard; Role Spec creation is a single long form,Client User
CL-45,2026-02-28,Text/Content,High,Open,Assessment question title shows typo: 'Createt Sum funation' instead of 'Create Sum Function',The only assessment visible on the Assessments page shows the question title as 'Createt Sum funation' — this is a clear typo/data quality issue. The question should read 'Create Sum Function'.,Navigate to Assessments page → view the assessment card,'Create Sum Function' (or similar correctly spelled title),'Createt Sum funation',Client User
CL-46,2026-02-28,UI/UX,Medium,Open,Assessments page shows 'Continue' button for an expired assessment,"The expired assessment (Due 19/02/2026) shows a 'Continue' action button. For an expired assessment, the appropriate action should be 'View' or 'Review' — not 'Continue', which implies the assessment can still be worked on.",Navigate to Assessments page → view the expired assessment card,"Expired assessments should show 'View' or 'Review' action, not 'Continue'",Shows 'Continue' button despite the assessment being expired,Client User
CL-47,2026-02-28,UI/UX,Low,Open,Assessments page has no 'Create Assessment' button for the Client user,The Assessments page only shows a 'View Interviews' button in the top right. There is no way to create a new coding assessment from this page.,Navigate to Assessments page,A 'Create Assessment' or 'Add Assessment' button should be available,Only 'View Interviews' button is present; no way to create new assessments,Client User
CL-48,2026-02-28,Code,High,Open,AI Assistant does not answer platform-specific data questions — gives generic responses,"When asked 'What is the current number of active jobs on this platform?', the AI Assistant responded with generic advice about creating effective job postings. It did not answer the actual question. The AI Assistant appears to be a generic chatbot without access to the user's actual platform data.",Navigate to AI Assistant → ask 'What is the current number of active jobs on this platform?',"The AI should respond with the actual count of active jobs for this account, or acknowledge it cannot access live data",Responded with generic job posting tips completely unrelated to the question asked,Client User
CL-49,2026-02-28,UI/UX,High,Open,User Menu only shows 'Take Tour' and 'Logout' — missing Profile and Settings options,"The user menu (top-right avatar) only contains two options: 'Take Tour' and 'Logout'. There are no options for Profile Settings, Account Settings, Password Change, or Notification Preferences.",Click on the user avatar in the top-right corner,"User menu should include Profile, Settings, and Logout at minimum",Only 'Take Tour' and 'Logout' are available,Client User
CL-50,2026-02-28,Code,High,Open,Dashboard Statistics Overview shows 'of 0 total' on initial load — data loads unreliably,"The dashboard Statistics Overview shows 'ACTIVE JOBS: of 0 total' on initial load, then updates to correct values. Statistics are not loading reliably on initial page load and require a trigger to refresh.",Load the dashboard page → observe Statistics Overview,Statistics should load correctly on initial page load,"Statistics show 'of 0 total' on initial load, then update to correct values",Client User
CL-52,2026-02-28,UI/UX,Medium,Open,'Getting Started' checklist step 'Explore candidates' not marked complete despite candidates being invited,The Getting Started checklist shows 'Explore candidates' as incomplete even though 2 candidates have been invited to the Senior React Developer job. The system should detect that candidates have been viewed/invited and mark this step as complete.,View the Getting Started checklist on the dashboard,'Explore candidates' should be marked complete if candidates have been invited or viewed,Step shows as incomplete despite active candidate invitations,Client User
CL-53,2026-02-28,UI/UX,Medium,Open,'Templates' sidebar link navigates to 'Feedback Templates' — label mismatch,The sidebar item is labelled 'Templates' but navigates to /dashboard/feedback-templates and the page heading reads 'Feedback Templates'. The sidebar label should match the page title.,Click 'Templates' under Tools & Config in the sidebar,Sidebar label should read 'Feedback Templates' to match the page,Sidebar shows 'Templates' but page is 'Feedback Templates',Client User
CL-54,2026-02-28,UI/UX,Low,Open,'Feedback Templates' page has two buttons with inconsistent capitalisation ('Create Template' vs 'Create template'),"The page has a '+ Create Template' button in the top-right header AND a 'Create template' button in the empty state. The capitalisation is inconsistent — one uses title case, the other uses sentence case.",Navigate to Feedback Templates page,Both buttons should use the same capitalisation style,Header button: 'Create Template' (title case); empty state button: 'Create template' (sentence case),Client User
AD-01,2026-02-28,Code,High,Open,Admin dashboard shows 0 across all statistics despite platform having active data,"The Admin dashboard Statistics Overview shows Active Jobs: 0, Candidates: 0, Interviews: 0, Completed: 0, and Recent Activity shows 'No Recent Activity'. The platform has multiple jobs, candidates, and interviews (as seen in the Client User session).",Log in as Admin → view dashboard Statistics Overview,"Admin should see platform-wide statistics (all jobs, candidates, interviews across all clients)",All statistics show 0; Recent Activity is empty,Admin User
AD-02,2026-02-28,UI/UX,Medium,Open,Admin Getting Started checklist shows 0 of 4 completed — same as a brand new account,The Admin account shows the Getting Started checklist at 0% with all 4 steps incomplete. An Admin user who manages the entire platform should either have a different onboarding flow or the checklist should reflect platform-wide activity.,Log in as Admin → view Getting Started checklist,Admin should have a different onboarding experience or the checklist should reflect platform-wide data,"Identical onboarding checklist as a new Client user, all steps incomplete",Admin User
AD-04,2026-02-28,Code,High,Open,Admin Panel shows Active Jobs: 0 and Interviews: 0 despite platform having active data,"The Admin Panel overview shows Users: 15, Companies: 1, Active Jobs: 0, Interviews: 0. Active Jobs and Interviews should reflect the platform-wide data (the Client User session showed 10+ published jobs and 27+ interviews).",Navigate to Admin Panel,Active Jobs and Interviews should show platform-wide counts,"Active Jobs: 0, Interviews: 0",Admin User
AD-05,2026-02-28,UI/UX,Medium,Open,Recent System Activity log exposes raw API endpoint strings to Admin users,"The Recent System Activity section shows raw API query strings as activity descriptions (e.g., 'view_candidates?limit=5', 'view_candidates?createdAtFrom=2025-12-30T08:04:22.264Z...'). These are internal API parameters that should be translated into human-readable activity descriptions.",Navigate to Admin Panel → view Recent System Activity,"Human-readable activity descriptions (e.g., 'Admin viewed jobs list at 12:04')","Raw API endpoint strings shown (e.g., 'view_candidates?limit=5 - admin@example.com')",Admin User
AD-08,2026-02-28,Flow/Process,High,Closed,'Clients' sidebar link under Management navigates to Market Intelligence instead,Clicking 'Clients' under the Management section in the Admin sidebar navigated to /dashboard/market-intelligence instead of a Clients management page. This is the same sidebar index offset issue observed in the Client User role.,Expand Management in sidebar → click 'Clients',Navigate to a Clients management page showing all client organisations,Navigated to /dashboard/market-intelligence,Admin User
AD-09,2026-02-28,Code,Critical,Closed,CRITICAL: Users management page causes a full client-side application crash,Clicking 'Users' under Management in the Admin sidebar navigates to /dashboard/admin/users and causes a full client-side application crash: 'Application error: a client-side exception has occurred while loading falcon.up.railway.app'. The page is completely broken and unrecoverable without navigating away.,Log in as Admin → expand Management → click Users,A Users management page listing all 15 platform users,Full client-side application crash — page shows error message and is unusable,Admin User
AD-10,2026-02-28,Flow/Process,Medium,Closed,'Enterprise' link under Management does not navigate — page goes blank,Clicking 'Enterprise' under the Management section in the Admin sidebar results in a blank white page with only the sidebar visible. The URL remains at /dashboard/admin and no content loads.,Log in as Admin → expand Management → click Enterprise,Navigate to an Enterprise settings page,"Page goes blank, no content loads",Admin User
AD-11,2026-02-28,Code,High,Open,Admin Jobs page shows 0 jobs despite platform having active job postings,"The Admin Jobs page shows Total: 0, Published: 0, Draft: 0, Closed: 0 and 'Showing 0 of 0 jobs'. The Admin account should have visibility into all jobs across all client organisations on the platform.",Log in as Admin → navigate to Jobs,Admin should see all jobs across all organisations on the platform,Jobs page shows 0 jobs across all categories,Admin User
AD-12,2026-02-28,Code,High,Closed,Admin Candidates page shows 0 candidates despite platform having active candidates,"The Admin Candidates page shows Total: 0, Sourced: 0, Contacted: 0, Interviewed: 0, Advanced: 0, Rejected: 0. The Admin account should have visibility into all candidates across the platform.",Log in as Admin → navigate to Candidates,Admin should see all candidates across all organisations,0 candidates shown across all status categories,Admin User
AD-13,2026-02-28,Code,High,Open,Admin Interviews page shows 'No interviews yet' despite platform having 27+ interviews,The Admin Interviews page shows 'No interviews yet. Schedule interviews for your candidates to get started.' The Admin account should have visibility into all interviews across the platform.,Log in as Admin → navigate to Interviews,Admin should see all interviews across all organisations,'No interviews yet' message shown — 0 interviews visible,Admin User
AD-15,2026-02-28,Code,High,Closed,Admin Analytics page stuck in skeleton loading state — no content loads initially,The Admin Analytics page shows a skeleton loading state (grey placeholder blocks) and does not load actual content immediately. The page eventually loads but with all KPIs at 0.,Log in as Admin → navigate to Analytics,Analytics page with charts and data visualisations,Page stuck in skeleton loading state for extended period,Admin User
AD-16,2026-02-28,UI/UX,Medium,Open,Analytics Dashboard KPIs all show 0 for Admin — same as Client User,"All Admin Analytics KPIs show 0: Time to Hire: 0 days, Cost Per Hire: 0 AED, Quality of Hire: 0%, Interview to Offer: 0%. The Source Effectiveness table has no data rows.",Log in as Admin → navigate to Analytics,Platform-wide analytics showing aggregated hiring metrics,All KPIs show 0 — no data,Admin User
AD-17,2026-02-28,Flow/Process,High,Closed,'Templates' link under Tools & Config navigates to Role Specifications instead,Clicking 'Templates' under the Tools & Config section navigated to /dashboard/role-specs (Role Specifications page) instead of a Templates page. This is a sidebar link misalignment issue.,Expand Tools & Config → click Templates,Navigate to a Templates management page,Navigated to /dashboard/role-specs (Role Specifications),Admin User
AD-18,2026-02-28,Text/Content,Medium,Open,"Role Spec contains test/placeholder data: 'asdf' title, 'ADSFASDF', 'SADF' skills","The Role Specifications page shows a role spec titled 'asdf' with Department 'asdf' and skill tags 'A SDF', 'ADSFASDF', 'SADF', 'SADFSAD'. This is clearly test/dummy data that should not be visible in a production or demo environment.",Navigate to Role Specifications,Meaningful role spec entries or empty state with a prompt to create one,Test data with nonsensical titles and skill tags visible,Admin User
AD-19,2026-02-28,Flow/Process,High,Closed,'Eval Policies' link under Tools & Config navigates to Feedback Templates instead,Clicking 'Eval Policies' under Tools & Config navigated to /dashboard/feedback-templates (Feedback Templates page) instead of an Evaluation Policies page. This is another sidebar link misalignment.,Expand Tools & Config → click Eval Policies,Navigate to an Evaluation Policies management page,Navigated to /dashboard/feedback-templates (Feedback Templates),Admin User
AD-21,2026-02-28,Flow/Process,Medium,Closed,Both 'Eval Policies' and 'Feedback' links navigate to the same Feedback Templates page,Both 'Eval Policies' and 'Feedback' sidebar links navigate to /dashboard/feedback-templates. This confirms the sidebar link offset issue — multiple links are pointing to the same destination.,Click 'Eval Policies' then 'Feedback' under Tools & Config,Each link should navigate to its own dedicated page,Both links navigate to /dashboard/feedback-templates,Admin User
AD-22,2026-02-28,UI/UX,Low,Open,Evidence-Based Scoring page requires manual ID entry — no browseable list,The Evidence page shows 'No filter selected. Select a filter type and enter an ID to view evidence.' Users must know the specific ID of an interview/candidate to look up evidence. There is no browseable list.,Navigate to Evidence-Based Scoring,A list of all evidence entries with filtering options,Empty state requiring manual ID entry — no browseable list,Admin User
