bug_id,status,actual_result,notes,timestamp
CL-18,FIXED,Proper job descriptions,Job cards show correct descriptions,2026-03-01T17:19:08.057075
CL-19,OPEN,"Found: ['asdf', 'adf', 'testing', 'placeholder']",Job cards have placeholder/test titles,2026-03-01T17:19:08.068379
CL-20,FIXED,Proper case status,Status badges use title case,2026-03-01T17:19:08.077122
CL-10,FIXED,Step labels match content,Wizard steps correctly labeled,2026-03-01T17:19:15.130758
CL-11,ERROR,"Page.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""text=/Work Mode/i"")
",Error checking Seniority Level,2026-03-01T17:19:45.131497
CL-12,ERROR,"Page.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""button:has-text(\""Next\"")"")
    - locator resolved to <button disabled tabindex=""-1"" type=""button"" class=""MuiButtonBase-root MuiButton-root MuiButton-contained MuiButton-containedPrimary MuiButton-sizeMedium MuiButton-containedSizeMedium MuiButton-colorPrimary Mui-disabled MuiButton-root MuiButton-contained MuiButton-containedPrimary MuiButton-sizeMedium MuiButton-containedSizeMedium MuiButton-colorPrimary mui-rx7xn6"">Next</button>
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is not enabled
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is not enabled
    - retrying click action
      - waiting 100ms
    56 × waiting for element to be visible, enabled and stable
       - element is not enabled
     - retrying click action
       - waiting 500ms
",Error checking location field,2026-03-01T17:20:15.158818
CL-13,NOT_FOUND,Engagement Length not found,Could not locate field,2026-03-01T17:20:15.164791
CL-28,OPEN,Columns show — or empty,Checklist and Date columns not populated,2026-03-01T17:20:22.248981
CL-30,FIXED,Pagination present,Interviews page has pagination,2026-03-01T17:20:22.261359
CL-33,ERROR,"ElementHandle.click: Timeout 30000ms exceeded.
Call log:
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
      - waiting 100ms
    56 × waiting for element to be visible, enabled and stable
       - element is not visible
     - retrying click action
       - waiting 500ms
",Error checking interview dates,2026-03-01T17:20:52.308028
CL-34,FIXED,AI summary present,Interview has AI summary,2026-03-01T17:20:52.321051
CL-36,OPEN,406 zero values,Analytics shows 0% for all metrics,2026-03-01T17:20:55.738082
AD-02,FIXED,Checklist shows progress,Getting Started tracks completion,2026-03-01T17:21:02.925320
AD-04,FIXED,Jobs: 2,Admin panel shows correct job count,2026-03-01T17:21:02.934129
AD-11,FIXED,Jobs displayed,Admin Jobs page shows actual jobs,2026-03-01T17:21:06.159636
AD-13,FIXED,Interviews displayed,Admin Interviews shows data,2026-03-01T17:21:09.386854
AD-15,FIXED,Analytics loaded,Admin Analytics displays content,2026-03-01T17:21:14.776592
CA-01,FIXED,Lands on https://falcon.up.railway.app/dashboard/interviews,Candidate has appropriate landing page,2026-03-01T18:12:46.530309
CA-04,NOT_FOUND,No greeting found,Could not locate greeting,2026-03-01T18:12:46.537716
CA-07,OPEN,Page shows error,My Application page has error,2026-03-01T18:12:49.777617
CL-27,ERROR,"Page.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""text=/Pipeline/i"")
    - locator resolved to 2 elements. Proceeding with the first one: <span class=""MuiTypography-root MuiTypography-body1 MuiListItemText-primary mui-1d02m8o"">Pipeline</span>
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div tabindex=""-1"" class=""MuiBox-root mui-rdx6dw"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div tabindex=""-1"" class=""MuiBox-root mui-rdx6dw"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 100ms
    54 × waiting for element to be visible, enabled and stable
       - element is visible, enabled and stable
       - scrolling into view if needed
       - done scrolling
       - <div tabindex=""-1"" class=""MuiBox-root mui-rdx6dw"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
     - retrying click action
       - waiting 500ms
",Error testing Pipeline link,2026-03-01T18:13:25.829789
CL-45,OPEN,"Found: ['Createt', 'Sum funation', 'funation']",Assessment has typo in title,2026-03-01T18:13:29.300763
CL-46,OPEN,Expired shows Continue,Expired assessment shows Continue button,2026-03-01T18:13:29.306988
CL-47,OPEN,Button not found,Create Assessment button missing,2026-03-01T18:13:29.326349
CL-48,FIXED,AI Assistant responds,AI Assistant answers platform questions,2026-03-01T18:13:32.535231
AD-08,FIXED,Navigates to https://falcon.up.railway.app/dashboard/admin/clients,Clients link works,2026-03-01T18:13:40.877243
AD-17,ERROR,"Page.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""text=/Templates/i"")
    - locator resolved to <span class=""MuiTypography-root MuiTypography-body1 MuiListItemText-primary mui-6s2olf"">Templates</span>
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
      - waiting 100ms
    56 × waiting for element to be visible, enabled and stable
       - element is not visible
     - retrying click action
       - waiting 500ms
",Error testing Templates link,2026-03-01T18:14:13.294795
AD-35,NOT_FOUND,No count found,Could not find client count,2026-03-01T18:14:16.741203
AD-38,OPEN,Found: ['placeholder'],Admin panel shows placeholder data,2026-03-01T18:14:16.750546
AD-39,OPEN,Button not found,Add Client button missing,2026-03-01T18:14:16.761857
CL-49,ERROR,"Page.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""button[aria-label=\""account\""]"")
",Error testing User Menu,2026-03-01T18:14:50.446534
CL-53,ERROR,"Page.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""text=/Templates/i"")
    - locator resolved to <span class=""MuiTypography-root MuiTypography-body1 MuiListItemText-primary mui-6s2olf"">Templates</span>
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
      - waiting 100ms
    53 × waiting for element to be visible, enabled and stable
       - element is not visible
     - retrying click action
       - waiting 500ms
",Error testing Templates link,2026-03-01T18:15:22.934189
CL-64,FIXED,Click on text works,FAQ expands when clicking text,2026-03-01T18:15:27.312265
